symbol,full_name,description,exchange,type
UMRH,UMRH,United Idi-Mardi and R.B. Hydropower Limited,Hydro Power src:Nepsealpha.com,stock
UNHPL,UNHPL,Union Hydropower Limited,Hydro Power src:Nepsealpha.com,stock
UNL,UNL,Unilever Nepal Limited,Manufacturing And Processing src:Nepsealpha.com,stock
UPCL,UPCL,UNIVERSAL POWER COMPANY LTD,Hydro Power src:Nepsealpha.com,stock
UPPER,UPPER,Upper Tamakoshi Hydropower Ltd,Hydro Power src:Nepsealpha.com,stock
USLB,USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,Microfinance src:Nepsealpha.com,stock
VLBS,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,Microfinance src:Nepsealpha.com,stock
VLBSPO,VLBSPO,Vijaya laghubitta Bittiya Sanstha Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
WOMI,WOMI,Womi Microfinance Bittiya Sanstha Ltd.,Microfinance src:Nepsealpha.com,stock
WOMIPO,WOMIPO,Womi Microfinance Bittiya Sanstha Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
YHL,YHL,Yak And Yeti Hotel Limited,Hotels and Tourism src:Nepsealpha.com,stock
